SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
FRA.1.0.99.0.UBRA,FRA,1.0,0.0,99.0,0.0,UBRA,France,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.34342,0.33946,0.5092,0.61824,0.64867,0.66978,0.64705,0.70998,0.621,0.46956,0.58367,0.78152,0.72133,0.65551,0.46873,0.74694,0.95923,0.81484,1.47412,2.2157,3.99925,3.80307,1.90509,-1.8977,-3.64803,-0.44416,3.83449,6.84016,6.36535,4.26511,4.1479,3.48686,4.9353,6.34966,4.7817,5.0379,11.72156,16.51122,18.35701,28.9795,24.8493,29.2562,18.1208,23.2789,25.1871,31.9571,38.7681,40.605,45.4003,46.3697,48.7195,57.397,48.542,50.6151,48.6269,44.5497,45.0356,46.4671,53.226,72.6241,46.6593,78.4455,74.0779,52.7592,57.99356,60.15633,62.40845
HRV.1.0.99.0.UBRA,HRV,1.0,0.0,99.0,0.0,UBRA,Croatia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014945,-0.045797,0.000551,-0.142595,-0.451456,-0.419988,-0.511959,-0.450902,-0.972934,-0.527127,-0.797777,-0.947856,-0.901391,-1.337509,-1.539085,-1.408834,-1.309399,-1.458163,-0.910171,-0.747073,-0.288121,-1.073032,-0.339773,-0.705981,-0.366448,0.569087,-0.564231,-0.592612,-0.583123,-0.258713,-0.275749,-0.275749
ITA.1.0.99.0.UBRA,ITA,1.0,0.0,99.0,0.0,UBRA,Italy,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.09089,0.08245,0.07628,0.08076,0.11516,0.20789,0.27818,0.24793,0.31724,0.40697,0.44945,0.50215,0.59959,0.32566,-0.5568,-0.3547,-0.53291,-0.34868,-0.31566,0.3633,0.64444,-2.09434,-2.79313,-2.53407,-2.92883,-3.85693,-5.93514,-4.96674,-5.08371,-7.4927,-14.78833,-17.98409,-20.07027,-16.12078,-17.62669,-10.90157,-10.00298,-5.01846,-6.23636,-2.2896,-4.7396,-3.9917,-6.0231,-6.724,-2.4026,2.3468,6.1431,1.2437,-15.165,-1.124,-3.53,-4.253,-2.0636,-2.787,0.001,-11.5044,4.618,9.411,19.15,14.38,21.256,20.436,18.502,-11.0926,-16.91816,-16.47485,-15.99513
CYP.1.0.99.0.UBRA,CYP,1.0,0.0,99.0,0.0,UBRA,Cyprus,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.006856,0.008622,0.009643,0.01069,0.011483,0.013315,0.007844,0.011141,0.010033,0.015529,0.017349,0.018833,0.021152,0.025817,0.027386,0.031069,0.030306,0.040385,0.0425,0.045511,0.05748,0.059216,0.066505,0.050062,0.05803,0.047653,0.038243,0.038461,0.042523,0.059065,0.071484,0.078137,0.067846,0.062785,0.049321,-0.051264,-0.033678,-0.351657,0.335451,-0.663585,-1.074393,-0.807731,-0.687425,-0.758935,-1.998713,-2.21524,-2.726976,-4.094989,-0.31172,-0.05199,-0.27804,0.52104,-0.13599,-0.23677,-0.47715,-0.12117,-0.7538,-0.61631,-0.78753,-1.25344,-1.50162,-2.2745,-2.33094,-2.99902,-3.411832,-3.540536,-3.708043
LVA.1.0.99.0.UBRA,LVA,1.0,0.0,99.0,0.0,UBRA,Latvia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001239,-0.001663,-0.006053,0.030129,0.030057,0.042761,0.041823,-0.066952,-0.010682,0.028322,0.017357,-0.051077,-0.241861,-0.142612,-0.434055,-0.677003,-0.311227,1.317914,0.180025,-0.021036,-0.154859,-0.051258,0.02735,-0.12159,-0.0344,-0.07409,-0.46475,-0.41756,0.01282,-0.60442,-0.63337,-0.92671,-0.902372,-0.943946,-0.98936
LTU.1.0.99.0.UBRA,LTU,1.0,0.0,99.0,0.0,UBRA,Lithuania,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006759,,-0.008705,-0.068567,-0.169003,-0.224275,-0.245182,-0.224145,-0.184626,-0.160372,-0.412886,-0.426742,-0.34938,-0.48655,-1.135,-1.03162,0.60774,-0.18227,-0.91598,-1.03906,-0.75772,-0.42644,-1.33118,-1.36182,-1.50868,-1.38251,-1.52179,-1.34689,-1.90055,-2.65709,-2.25861,-2.193033,-2.291542,-2.347635
LUX.1.0.99.0.UBRA,LUX,1.0,0.0,99.0,0.0,UBRA,Luxembourg,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.0,0.00151,0.00377,0.00377,0.00151,0.00377,0.01282,0.02652,0.03137,0.0292,0.02368,0.03172,0.03678,0.04979,0.09841,0.16643,0.26915,0.32562,0.35646,0.4379,0.51769,0.57636,0.66223,0.68893,0.78563,0.62271,0.53852,0.64727,0.56995,0.5644,0.7702,0.93446,0.94184,0.82572,0.39827,-1.4079,-1.91298,-1.96767,-1.15734,-2.4521,-2.4439,-2.4259,-3.7723,-4.7464,-3.3685,-3.9695,-8.2041,-7.5552,-9.4353,-11.2076,-13.5858,-13.5982,-10.7884,-13.872,-14.17,-19.3,-18.9638,-16.5366,-17.0902,-19.6146,-19.1534,-22.7661,-25.2474,-27.6915,-29.8767,-31.34092,-33.0867
HUN.1.0.99.0.UBRA,HUN,1.0,0.0,99.0,0.0,UBRA,Hungary,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.022228,-1.219995,-1.469312,-1.64017,-2.481857,-2.700054,-2.957884,-2.950289,-3.446237,-4.035595,-4.145583,-5.06889,-5.658616,-5.660184,-7.729249,-7.029061,-4.042405,-4.575798,-4.741814,-4.01941,-2.817626,-4.62904,-5.29492,-2.981461,-4.972114,-5.096157,-3.521984,-3.005397,-4.551579,-4.559763,-5.80988,-7.046125,-7.143452,-7.2484
MLT.1.0.99.0.UBRA,MLT,1.0,0.0,99.0,0.0,UBRA,Malta,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.008965,0.00836,0.009904,0.010429,0.0107,0.011227000000000001,0.011505,0.012447,0.013532,0.015294,0.017115,0.017541,0.019311,0.016613,0.027218,0.038665,0.038117,0.039659,0.034481,0.026481,0.06776,0.098332,0.130582,0.106374,0.13927,0.093512,0.066943,0.068309,0.073129,0.085837,,,,,,0.064651,0.048756,0.059023,-0.001431,0.092363,-0.118177,0.071138,0.079015,0.024986,0.025979,-0.2219,-0.20009,-0.14898,-0.15664,-0.42171,-0.40323,-0.2896,-0.36217,-0.61138,-0.66816,-0.70882,-1.20801,-0.92756,-1.2566,-1.37472,-1.62228,-2.04873,-2.541,-2.75351,-2.446705,-2.734826,-2.901294
NLD.1.0.99.0.UBRA,NLD,1.0,0.0,99.0,0.0,UBRA,Netherlands,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.11586,0.16647,0.11594,0.17172,0.19805,0.19496,0.15519,0.22259,0.15304,0.87605,0.84564,0.67361,0.89987,1.32022,1.42464,0.39577,1.07234,1.06404,0.58092,1.94816,1.09456,0.07703,0.06745,0.90938,1.53007,-0.71438,-0.55439,1.72205,0.99955,1.5344,-1.72227,-0.78003,-1.85417,0.00912,2.00127,-2.40119,-0.3996,-1.63473,-7.43717,-2.718,-3.649,-12.171,-14.484,-6.407,-7.589,-7.786,-4.284,-7.939,-32.093,-22.636,-3.416,-0.894,-6.008,-3.829,-6.148,-10.622,-21.362,-13.711,-4.844,-18.062,-25.462,10.826,-14.644,-8.909,-8.18547,-8.80945,-8.70717
AUT.1.0.99.0.UBRA,AUT,1.0,0.0,99.0,0.0,UBRA,Austria,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,-0.012017,-0.018378,-0.020133,-0.023369,-0.029121,-0.031997,-0.033435,-0.046595,-0.06953,-0.062837,-0.074122,-0.072578,-0.104126,-0.140149,-0.135621,-0.168006,-0.341142,-0.437534,-0.500446,-0.533735,-0.627065,-0.815919,-0.826198,-0.747476,-0.878688,-0.911888,-1.298605,-1.366983,-1.01228,-0.964803,-0.946628,-1.743645,-1.394333,-1.455761,-1.743392,-0.70313,-0.107546,-0.869475,-1.185286,-3.2299,-1.8603,-3.0161,-1.3155,-0.5826,-0.3339,-0.5379,0.6257,-0.2862,2.4499,-0.1248,2.4752,1.0462,0.3227,0.8539,0.3578,-3.4894,-0.1523,-3.4809,-3.9631,-0.8986,4.1854,6.7003,2.0149,0.1925,-3.059949,-4.286775,-5.331445
POL.1.0.99.0.UBRA,POL,1.0,0.0,99.0,0.0,UBRA,Poland,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.49421,-1.82958,-2.98746,-0.81939,-1.52248,-0.84416,-0.98831,-1.03844,-0.94077,-0.78016,-0.66991,-0.69502,-1.84654,-6.56939,-4.35916,-5.85032,-10.61447,-6.5263,-9.58958,-13.05214,-13.7965,-14.65158,-13.4559,-15.55066,-16.00265,-17.17636,-19.7406,-21.0058,-22.23092,-19.88095,-25.93885,-25.79017,-29.94665,-32.71816,-33.65924,-34.66289
PRT.1.0.99.0.UBRA,PRT,1.0,0.0,99.0,0.0,UBRA,Portugal,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.01101,0.001055,0.005058,0.004591,0.013574,0.018866,0.013801,0.035634,0.032278,0.024409,-0.001858,-0.028768,-0.038384,-0.046725,-0.046218,-0.134192,-0.260791,-0.271303,-0.322728,-0.355962,-0.509561,-1.018298,-1.542664,-1.503484,-1.80955,-1.75879,-1.305238,-0.938671,-0.861062,-0.672073,-0.418343,-0.411015,-0.108596,-0.121139,-0.397387,0.707987,0.567401,-0.13984,-0.322896,-0.39,-2.08138,-2.32849,-2.15838,-1.4647,-1.91294,-2.10595,-4.72235,-5.04133,-6.02579,-6.00764,-5.76079,-3.12702,-3.7823,-2.45768,-3.55457,-4.64745,-4.23652,-4.36709,-4.88083,-5.08931,-2.89016,-2.15134,-4.40744,-6.59431,-6.826972,-6.880022,-6.930699
ROM.1.0.99.0.UBRA,ROM,1.0,0.0,99.0,0.0,UBRA,Romania,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26411,-0.29856,-0.31227,-0.45589,-0.44007,-0.33903,-0.34302,-0.51257,-1.2174,-2.55892,-2.35389,-3.27925,-2.89248,-2.29322,-0.8867,-0.37149,-0.50862,-1.05198,-2.17142,-0.83444,-1.76064,-2.37089,-2.79372,-3.13692,-2.37942,-2.49345,-4.48116,-8.68128,-9.21297,-10.90706,-11.11891,-11.24725
SVN.1.0.99.0.UBRA,SVN,1.0,0.0,99.0,0.0,UBRA,Slovenia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011821,-0.018053,0.030675,0.090897,0.081309,0.044558,-0.008355,-0.030066,-0.018028,-0.053075,-0.018986,-0.218116,-0.279442,-0.386872,-0.273662,-0.394892,-0.80615,-0.9927,-0.60125,-0.48171,-0.50305,-0.56183,-0.48219,-0.33636,-1.16614,-0.9212,-0.63409,-0.52325,-0.58822,-0.08427,-0.46726,-0.87271,-0.59887,-0.616352,-0.605297,-0.580778
SVK.1.0.99.0.UBRA,SVK,1.0,0.0,99.0,0.0,UBRA,Slovakia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.052537,-0.053255,0.07991,0.133127,0.042747,0.038491,-0.084425,-0.093365,0.010443,-0.070379,-1.455297,-1.334337,-1.005977,-1.269307,-1.56426,-1.183387,-0.35482,-1.47829,-2.49874,-1.28829,-0.60883,-0.88964,-1.9873,-2.16157,-1.56822,-1.46834,-2.30436,-0.87296,-2.92854,-3.33531,-2.79684,-3.585379,-4.014961,-4.315967
FIN.1.0.99.0.UBRA,FIN,1.0,0.0,99.0,0.0,UBRA,Finland,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,-0.007988,-0.012297,-0.018695,-0.026874,-0.035929,-0.044113,-0.050535,-0.064242,-0.071043,-0.08595,-0.08805,-0.100357,-0.124048,-0.154243,-0.203019,-0.310093,-0.401329,-0.509992,-0.485782,-0.491565,-0.595465,-0.965115,-1.265637,-1.340982,-1.468787,-1.414797,-1.37547,-1.490782,-1.546682,-2.578198,-3.12781,-3.828624,-4.215334,-4.224701,-3.751395,-3.0007,-2.349454,-1.675341,-2.306731,-1.27,-0.85,-0.053,0.45,-0.894,1.117,0.687,1.573,0.547,0.326,2.257,2.46,0.846,0.897,1.153,2.238,1.856,0.935,0.066,0.935,0.85,3.599,4.024,2.371,0.712,0.609586,-0.333673,-0.326248
SWE.1.0.99.0.UBRA,SWE,1.0,0.0,99.0,0.0,UBRA,Sweden,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.04136,0.03785,0.05132,0.04915,0.07137,0.05692,0.05222,0.0305,0.01278,-0.01343,0.02194,0.054,0.05878,0.18702,0.14618,0.15191,-0.02404,-0.41725,-0.74669,-0.70099,-0.34909,-0.76491,-1.32485,-1.66086,-1.90801,-2.08715,-1.40873,-0.88071,-1.15991,-1.5745,-2.6711,-4.25403,-6.76614,-6.27648,-3.87206,-3.21917,-3.23275,-2.91776,-1.56383,-0.37865,0.20888,0.25294,0.86704,5.039,1.79564,4.36966,8.86196,10.91728,12.42767,7.56065,10.97788,9.30071,10.01187,10.11219,9.11939,3.2249,1.20521,6.75624,8.44549,13.79327,17.05143,22.13637,23.95163,20.49307,20.41033,19.98578,21.35172
GBR.1.0.99.0.UBRA,GBR,1.0,0.0,99.0,0.0,UBRA,United Kingdom,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,0.43477,0.49319,0.69358,0.85324,0.86894,0.97102,0.83492,0.81516,0.59715,0.99082,1.10112,0.91231,0.66378,1.48908,1.59081,0.2107,0.53091,-2.1906,-1.65082,-3.23223,-6.18893,-6.28626,-8.07023,-5.22645,-3.95682,-8.86113,-4.7845,-1.95012,-2.70757,-4.75567,-7.30124,-8.54764,-1.64848,-3.17441,1.9719,-0.98095,-0.78889,-0.89556,15.97643,-5.39367,4.9846,9.95057,21.92798,20.808,16.04194,21.23439,-8.47402,-20.60827,-26.41141,-14.60481,0.82416,8.00222,-19.68625,-37.17375,-41.27424,-57.54611,-57.02741,-25.55909,-33.06523,-2.56787,-50.53703,15.88232,16.19723,-21.0339,-19.56341,-17.99787,-17.16249
MKD.1.0.99.0.UBRA,MKD,1.0,0.0,99.0,0.0,UBRA,North Macedonia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048267,-0.04001,-0.03984,-0.075823,-0.030418,-0.048101,-0.053493,-0.03014,-0.088067,-0.021177,-0.280825,-0.094408,-0.047299,-0.09968,-0.13103,-0.16376,-0.19308,-0.16061,-0.28613,-0.38385,-0.3975,-0.45074,-0.51961,-0.41148,-0.51944,-0.56844,-0.74243,-0.841237,-0.933743,-0.915246
SRB.1.0.99.0.UBRA,SRB,1.0,0.0,99.0,0.0,UBRA,Serbia,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00665,-0.077502,-0.120245,-0.173454,-0.906777,-0.997471,-1.240677,-1.073834,-0.47423,-0.670635,-1.361462,-1.114018,-1.428858,-1.353587,-1.66375,-2.030369,-2.537602,-2.189259,-2.48763,-1.439913,-2.072655,-2.991444,-4.199696,-4.568818,-4.962103,-5.392505
TUR.1.0.99.0.UBRA,TUR,1.0,0.0,99.0,0.0,UBRA,Turkey,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,-0.03293,-0.03029,-0.02939,-0.01132,-0.01703,0.02971,0.06689,0.03078,0.03272,0.04587,0.0,0.0,0.0,0.0,0.0,-0.13306,-0.26942,-0.3045,-0.39815,-0.74466,-0.8926,-1.36197,-1.54808,-1.79724,-2.12004,-1.74903,-1.75359,-1.59974,-2.14314,-1.94404,-1.96526,-2.15582,-2.01995,-2.34032,-2.71963,-2.45249,-2.30853,-2.66264,-2.64953,-3.29181,-4.33677,-5.42146,-4.76716,-4.91811,-4.50484,-4.31624,-4.74724,-4.58242,-5.17611,-5.70428,-5.08929,-5.29469,-5.37531,-6.68985,-6.42079,-8.98674,-8.65085,-10.25281,-9.65315,-10.97901,-7.94515,-9.1655,-8.49962,-12.72705,-2.92574,-3.81059,-4.72378
ISL.1.0.99.0.UBRA,ISL,1.0,0.0,99.0,0.0,UBRA,Iceland,"01 Balances with the rest of the world, national accounts",Net primary income from the rest of the world (National accounts) ,Mrd ECU/EUR,-0.002754,-0.002338,-0.002174,-0.002174,-0.002174,-0.002174,-0.004348,-0.004252,-0.00469,-0.005558,0.001,0.000868,-0.003737,-0.003603,-0.007574,-0.023165,-0.031041,-0.03276,-0.040044,-0.036884,-0.046259,-0.080418,-0.103239,-0.120994,-0.161701,-0.152186,-0.131211,-0.10678,-0.127198,-0.177209,-0.167276,-0.144394,-0.120147,-0.126052,-0.16302,-0.150085,-0.132289,-0.18307,-0.200357,-0.200513,-0.308811,-0.290377,-0.042157,-0.172572,-0.487984,-0.538263,-0.839121,-0.728849,-2.039664,-1.545387,-1.582458,-1.272463,-1.003596,-0.086335,-0.170891,-0.028056,0.368074,0.10696,0.236242,0.462376,0.459881,0.077409,-0.242789,0.50533,0.507598,0.541557,0.574224
